plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
5132,55858,478,'v5_10_0','Decimal(''5778249811837820928'')',16.256109,17.091109,4.48,0.680969,4.10E-05,0,'QSO','BROADLINE'
5135,55862,571,'v5_10_0','Decimal(''5781653075270803456'')',20.257132,19.631073,8.59,0.408084,2.40E-05,0,'QSO','STARBURST BROADLINE'
5140,55836,942,'v5_10_0','Decimal(''5787384554072285184'')',22.267133,16.703815,9.09,0.709468,0.00018,0,'QSO','BROADLINE'
5649,55912,288,'v5_10_0','Decimal(''6360287837779107840'')',1.544491,12.250354,0.73,2.30926,0.000875,0,'QSO','BROADLINE'
5649,55912,896,'v5_10_0','Decimal(''6360454963546529792'')',2.210986,12.669825,12.7,0.383532,4.70E-05,0,'QSO','BROADLINE'
5694,56213,51,'v5_10_0','Decimal(''6410888192573022208'')',23.352612,24.461494,41.36,0.452188,3.70E-05,0,'QSO','BROADLINE'
5704,56187,764,'v5_10_0','Decimal(''6422343179152891904'')',14.488553,15.353047,38.12,1.27497,0.000167,0,'QSO','BROADLINE'
6180,56301,861,'v5_10_0','Decimal(''6958298199879557120'')',6.283201,20.107662,17.8,0.722593,6.60E-05,0,'QSO','BROADLINE'
6181,56239,509,'v5_10_0','Decimal(''6959327341722968064'')',5.643088,21.680082,4.7,0.711716,0.000116,0,'QSO','BROADLINE'
6184,56267,340,'v5_10_0','Decimal(''6962658587546984448'')',5.035912,13.078636,17.28,0.41646,3.30E-05,0,'QSO','BROADLINE'
6192,56269,818,'v5_10_0','Decimal(''6971797178474799104'')',8.261563,16.462692,26.26,1.00034,0.000117,0,'QSO','BROADLINE'
6197,56191,98,'v5_10_0','Decimal(''6977228764607389696'')',10.675016,13.913919,37.29,1.62669,0.000204,0,'QSO','BROADLINE'
6202,56266,584,'v5_10_0','Decimal(''6982991856062668800'')',10.099041,14.135387,44.8,1.88398,0.000428,0,'QSO','BROADLINE'
6203,56266,998,'v5_10_0','Decimal(''6984231555422986240'')',13.64554,14.924654,30.77,0.874877,0.0001,0,'QSO','BROADLINE'
6255,56240,173,'v5_10_0','Decimal(''7042551575869366272'')',16.532238,26.059654,6.86,0.411059,4.10E-05,0,'QSO','BROADLINE'
6285,56248,848,'v5_10_0','Decimal(''7076514115796049920'')',11.351995,24.523847,6.72,1.814,0.000327,0,'QSO','BROADLINE'
6529,56535,580,'v5_10_0','Decimal(''7351160030601650176'')',9.789183,31.625171,19.62,1.05691,0.000154,0,'QSO','BROADLINE'
6596,56331,240,'v5_10_0','Decimal(''7426501862449192960'')',21.217303,31.12365,5.99,0.829152,0.000148,0,'QSO','BROADLINE'
6877,56544,796,'v5_10_0','Decimal(''7743032571961778176'')',1.237166,27.424482,19.68,0.361541,1.80E-05,0,'QSO','BROADLINE'
7040,56574,732,'v5_10_0','Decimal(''7926536665094397952'')',10.028566,-4.556129,18.87,0.409944,8.10E-05,0,'QSO','STARBURST BROADLINE'
7130,56568,884,'v5_10_0','Decimal(''8027909438051426304'')',6.549181,33.665558,19.2,0.565007,6.40E-05,0,'QSO','BROADLINE'
7627,56933,664,'v5_10_0','Decimal(''8587421224736366592'')',25.988896,20.46277,8.25,1.69714,0.000392,0,'QSO','BROADLINE'
7673,57329,290,'v5_10_0','Decimal(''8639109822757707776'')',11.351999,24.523846,26.75,1.81169,0.000128,0,'QSO','BROADLINE'
7818,56989,108,'v5_10_0','Decimal(''8802315275766571008'')',22.174474,-0.554768,28.08,1.65817,0.000259,0,'QSO','BROADLINE'
