#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass,col1,col2,GroupID,GroupSize,Separation
1369,53089,392,'26',Decimal('1541464776431921152'),179.68107,45.766766,40.17,1.87001,1.74E-4,0,'QSO','BROADLINE',179.68107611,45.76676306,36,2,0.0186402529255358
6644,56384,168,'v5_10_0',Decimal('7480525267657531392'),179.68107,45.766764,50.1,1.87224,1.08E-4,0,'QSO','BROADLINE',179.68107611,45.76676306,36,2,0.015712715807905463
4847,55931,110,'v5_10_0',Decimal('5457267184542654464'),179.71505,5.699982,9.01,1.70466,2.94E-4,0,'QSO','BROADLINE',179.71506194,5.69997389,37,2,0.05178614769593779
841,52375,411,'26',Decimal('946994836320315392'),179.71506,5.699986,12.85,1.7117,3.04E-4,0,'QSO','BROADLINE',179.71506194,5.69997389,37,2,0.044146419187087664
6475,56337,502,'v5_10_0',Decimal('7290339991833518080'),179.82216,28.637361,19.3,0.21005,2.7E-5,0,'QSO','BROADLINE',179.82216,28.63736111,,,3.960000075197837E-4
7098,56661,928,'v5_10_0',Decimal('7991892737220648960'),180.50423,60.209668,48.65,1.21807,1.4E-4,0,'QSO','BROADLINE',180.50422806,60.20966806,,,0.0034765600042684607
2099,53469,609,'26',Decimal('2363431363308185600'),180.7493,34.935687,17.29,1.76249,2.17E-4,0,'QSO','BROADLINE',180.74930611,34.93568,38,2,0.03098710915653544
4610,55621,440,'v5_10_0',Decimal('5190519611129307136'),180.7493,34.935685,20.1,1.76251,1.16E-4,0,'QSO','BROADLINE',180.74930611,34.93568,38,2,0.025478636962980163
4610,55621,584,'v5_10_0',Decimal('5190559193547907072'),180.76375,35.960124,43.52,0.919815,1.24E-4,0,'QSO','BROADLINE',180.76374806,35.96012389,39,2,0.005666883412697718
2103,53467,150,'26',Decimal('2367808793942714368'),180.76376,35.960126,34.3,0.915728,2.09E-4,0,'QSO','BROADLINE',180.76374806,35.96012389,39,2,0.03561190294994637
6683,56416,1000,'v5_10_0',Decimal('7524664062979842048'),180.88825,51.50399,30.55,0.801444,3.7E-5,0,'QSO','BROADLINE',180.88831194,51.50394806,,,0.20508839912686733
1369,53089,581,'26',Decimal('1541516728356333568'),180.95034,45.997533,26.05,0.343097,4.5E-5,0,'QSO','BROADLINE',180.95032611,45.99752889,40,2,0.037757091517184066
7427,56751,490,'v5_10_0',Decimal('8362193411558580224'),180.95034,45.997529,38.35,0.342974,6.3E-5,0,'QSO','AGN BROADLINE',180.95032611,45.99752889,40,2,0.03473950556450502
778,52337,231,'26',Decimal('876013663528445952'),180.98366,61.934519,31.31,1.2515,2.02E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.2630153557418095
778,54525,229,'26',Decimal('876013150481180672'),180.98366,61.934519,30.42,1.25341,2.01E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.2630153557418095
7106,56663,36,'v5_10_0',Decimal('8000654745415950336'),180.98373,61.934517,31.17,1.25378,4.75E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.30106015166768846
2226,53819,585,'26',Decimal('2506414060279457792'),181.17545,27.903284,33.93,0.164595,6.3E-5,16,'QSO','STARBURST BROADLINE',181.17544694,27.90327889,42,2,0.02081317468182792
6475,56337,302,'v5_10_0',Decimal('7290285016252129280'),181.17545,27.903276,39.35,0.165056,5.0E-5,0,'QSO','STARBURST BROADLINE',181.17544694,27.90327889,42,2,0.014248461221359365
6676,56389,620,'v5_10_0',Decimal('7516678309574320128'),181.39472,50.29114,10.95,1.27119,3.14E-4,0,'QSO','BROADLINE',181.39471389,50.29108389,,,0.20248424569845555
6974,56442,573,'v5_10_0',Decimal('7852183563440988160'),181.44588,63.83788,60.49,0.749975,6.0E-5,0,'QSO','BROADLINE',181.44591694,63.83792194,43,2,0.1619695835890582
599,52317,297,'26',Decimal('674495721809930240'),181.44595,63.837864,29.51,0.749461,9.1E-5,0,'QSO','BROADLINE',181.44591694,63.83792194,43,2,0.21508364926682585
6838,56429,382,'v5_10_0',Decimal('7699008674212061184'),181.53765,56.628255,10.57,0.521968,5.2E-5,0,'QSO','BROADLINE',181.53762306,56.628175,,,0.2928993058215672
6969,56420,410,'v5_10_0',Decimal('7846509258438844416'),181.54682,58.218916,38.75,1.1935,1.37E-4,0,'QSO','BROADLINE',181.54679806,58.21896889,44,3,0.19489522862458758
1314,52792,419,'26',Decimal('1479547698276231168'),181.54683,58.218898,16.54,1.19233,6.25E-4,0,'QSO','BROADLINE',181.54679806,58.21896889,44,3,0.2622908633469309
